;Name;Location;Year;Kilometers_Driven;Fuel_Type;Transmission;Owner_Type;Mileage;Engine;Power;Seats;New_Price;Price
0;Maruti Wagon R LXI CNG;Mumbai;2010;72000;CNG;Manual;First;26,6;998;58,16;5;;1750
1;Hyundai Creta 1.6 CRDi SX Option;Pune;2015;41000;Diesel;Manual;First;19,67;1582;126,2;5;;12500
2;Honda Jazz V;Chennai;2011;46000;Petrol;Manual;First;18,2;1199;88,7;5;8,61;4500
3;Maruti Ertiga VDI;Chennai;2012;87000;Diesel;Manual;First;20,77;1248;88,76;7;;6000
4;Audi A4 New 2.0 TDI Multitronic;Coimbatore;2013;40670;Diesel;Automatic;Second;15,2;1968;140,8;5;;17740
5;Hyundai EON LPG Era Plus Option;Hyderabad;2012;75000;LPG;Manual;First;21,1;814;55,2;5;;2350
6;Nissan Micra Diesel XV;Jaipur;2013;86999;Diesel;Manual;First;23,08;1461;63,1;5;;3500
7;Toyota Innova Crysta 2.8 GX AT 8S;Mumbai;2016;36000;Diesel;Automatic;First;11,36;2755;171,5;8;21;17500
8;Volkswagen Vento Diesel Comfortline;Pune;2013;64430;Diesel;Manual;First;20,54;1598;103,6;5;;5200
9;Tata Indica Vista Quadrajet LS;Chennai;2012;65932;Diesel;Manual;Second;22,3;1248;74;5;;1950
10;Maruti Ciaz Zeta;Kochi;2018;25692;Petrol;Manual;First;21,56;1462;103,25;5;10,65;9950
11;Honda City 1.5 V AT Sunroof;Kolkata;2012;60000;Petrol;Automatic;First;16,8;1497;116,3;5;;4490
12;Maruti Swift VDI BSIV;Jaipur;2015;64424;Diesel;Manual;First;25,2;1248;74;5;;5600
13;Land Rover Range Rover 2.2L Pure;Delhi;2014;72000;Diesel;Automatic;First;12,7;2179;187,7;5;;27000
14;Land Rover Freelander 2 TD4 SE;Pune;2012;85000;Diesel;Automatic;Second;0;2179;115;5;;17500
15;Mitsubishi Pajero Sport 4X4;Delhi;2014;110000;Diesel;Manual;First;13,5;2477;175,56;7;32,01;15000
16;Honda Amaze S i-Dtech;Kochi;2016;58950;Diesel;Manual;First;25,8;1498;98,6;5;;5400
17;Maruti Swift DDiS VDI;Jaipur;2017;25000;Diesel;Manual;First;28,4;1248;74;5;;5990
18;Renault Duster 85PS Diesel RxL Plus;Kochi;2014;77469;Diesel;Manual;First;20,45;1461;83,8;5;;6340
19;Mercedes-Benz New C-Class C 220 CDI BE Avantgare;Bangalore;2014;78500;Diesel;Automatic;First;14,84;2143;167,62;5;;28000
20;BMW 3 Series 320d;Kochi;2014;32982;Diesel;Automatic;First;22,69;1995;190;5;47,87;18550
21;Maruti S Cross DDiS 200 Alpha;Bangalore;2015;55392;Diesel;Manual;Second;23,65;1248;88,5;5;;8250
22;Audi A6 2011-2015 35 TFSI Technology;Mumbai;2015;55985;Petrol;Automatic;First;13,53;1984;177,01;5;;23500
23;Hyundai i20 1.2 Magna;Kolkata;2010;45807;Petrol;Manual;First;18,5;1197;80;5;;1870
24;Volkswagen Vento Petrol Highline AT;Kolkata;2010;33000;Petrol;Automatic;First;14,4;1598;103,6;5;;2850
25;Honda City Corporate Edition;Mumbai;2012;51920;Petrol;Manual;First;16,8;1497;116,3;5;;4250
26;Nissan Micra Diesel XV;Hyderabad;2012;54000;Diesel;Manual;First;23,08;1461;63,1;5;;4250
27;Maruti Alto K10 2010-2014 VXI;Hyderabad;2013;54000;Petrol;Manual;Second;20,92;998;67,1;5;;2750
28;Honda WRV i-VTEC VX;Kochi;2018;37430;Petrol;Manual;First;17,5;1199;88,7;5;10,57;9900
29;Toyota Innova 2.5 V Diesel 7-seater;Mumbai;2007;262000;Diesel;Manual;Fourth & Above;12,8;2494;102;7;;4000
30;Renault Duster 110PS Diesel RxZ Pack;Bangalore;2013;62000;Diesel;Manual;First;19,01;1461;108,45;5;;7750
31;Toyota Corolla Altis G;Delhi;2012;87615;Petrol;Manual;First;14,53;1798;138,1;5;;6750
32;Mahindra Ssangyong Rexton RX7;Bangalore;2013;72000;Diesel;Automatic;Second;11,18;2696;184;7;;12500
33;Audi A6 2.7 TDI;Kolkata;2010;35000;Diesel;Automatic;First;12,4;2698;179,5;5;;11500
34;Volkswagen Vento 1.6 Highline;Coimbatore;2014;55431;Petrol;Manual;Second;16,09;1598;103,5;5;12,33;6980
35;Maruti Wagon R LXI BSIII;Jaipur;2009;83816;Petrol;Manual;Second;14;1061;64;5;;1850
36;Maruti Vitara Brezza ZDi Plus;Kochi;2018;50075;Diesel;Manual;First;24,3;1248;88,5;5;11,12;8630
37;Mahindra KUV 100 mFALCON G80 K6 5str AW;Delhi;2017;52000;Petrol;Manual;First;18,15;1198;82;5;;4850
38;Mercedes-Benz M-Class ML 350 CDI;Pune;2013;85000;Diesel;Automatic;First;11,74;2987;254,8;5;;28000
39;Volkswagen Polo Diesel Trendline 1.2L;Chennai;2013;62000;Diesel;Manual;First;22,07;1199;73,9;5;;5000
40;Maruti Alto LXi;Delhi;2008;90000;Petrol;Manual;Second;19,7;796;46,3;5;;1250
41;Tata Nano LX SE;Kochi;2014;19698;Petrol;Manual;First;25,4;624;37,5;4;;1530
42;Mahindra KUV 100 mFALCON D75 K8 Dual Tone;Coimbatore;2017;22033;Diesel;Manual;First;25,32;1198;77;6;;5580
43;Hyundai i20 Magna Optional 1.2;Kochi;2014;35487;Petrol;Manual;First;18,5;1197;82,9;5;;4740
44;Hyundai Elantra 2.0 SX Option AT;Bangalore;2014;46374;Petrol;Automatic;First;14,62;1999;149,92;5;23,64;8850
45;Toyota Corolla Altis G AT;Mumbai;2016;52001;Petrol;Automatic;First;14,28;1798;138,03;5;;10110
46;Hyundai Elantra CRDi;Ahmedabad;2008;58005;Diesel;Manual;Second;14,9;1991;112,2;5;;4250
47;Toyota Innova Crysta 2.7 GX MT;Bangalore;2012;70704;Petrol;Manual;First;11,25;2694;163,7;7;18,64;10950
48;Hyundai Xcent 1.1 CRDi S;Jaipur;2014;75000;Diesel;Manual;First;24,4;1120;71;5;;3850
49;Mahindra Thar CRDe AC;Jaipur;2012;75800;Diesel;Manual;Second;16,55;2498;105;6;;5500
50;Audi A4 2.0 TDI 177  Premium Plus;Kochi;2015;13648;Diesel;Automatic;First;17,11;1968;174,33;5;;21430
51;Maruti Swift LDI;Delhi;2014;52000;Diesel;Manual;First;22,9;1248;74;5;;4250
52;Maruti Swift Ldi BSIV;Kolkata;2014;53000;Diesel;Manual;First;17,8;1248;75;5;;3300
53;Maruti Swift VDI;Delhi;2013;65650;Diesel;Manual;First;28,4;1248;74;5;;3850
54;Hyundai Grand i10 Sportz;Chennai;2015;54000;Petrol;Manual;Third;18,9;1197;82;5;;3600
55;Volkswagen Vento 2013-2015 1.6 Comfortline;Kolkata;2015;39000;Petrol;Manual;First;15,04;1598;103,2;5;;3990
56;Renault KWID RXT;Kochi;2017;16542;Petrol;Manual;First;25,17;799;53,3;5;;3300
57;Hyundai i10 Asta;Kolkata;2010;32000;Petrol;Manual;First;20,36;1197;78,9;5;;2070
58;Nissan X-Trail SLX AT;Hyderabad;2010;121812;Diesel;Automatic;First;13,29;1995;147,6;5;;7750
59;Maruti Zen Estilo VXI BSIII;Hyderabad;2010;39300;Petrol;Manual;First;18,2;998;67,1;5;;2250
60;Toyota Innova Crysta 2.4 GX MT 8S;Mumbai;2017;22000;Diesel;Manual;First;13,68;2393;147,8;8;19,34;16500
61;Ford Figo Diesel Titanium;Bangalore;2010;72000;Diesel;Manual;First;20;1399;68;5;;2750
62;Mercedes-Benz New C-Class C 200 CGI Avantgarde;Delhi;2015;58000;Petrol;Automatic;First;11,74;1796;186;5;;26700
63;Mercedes-Benz New C-Class 200 CDI Classic;Pune;2011;65000;Diesel;Manual;Second;15,8;2148;170;5;;10000
64;Tata Indica V2 eLS;Chennai;2016;178000;Diesel;Manual;First;25;1396;69;5;;2500
65;Audi A4 2.0 TDI Multitronic;Jaipur;2012;65664;Diesel;Automatic;First;16,55;1968;140;5;;13500
66;Honda City ZX CVT;Mumbai;2007;63000;Petrol;Automatic;Second;16,4;1497;78;5;;1850
67;Mercedes-Benz C-Class Progressive C 220d;Coimbatore;2019;15369;Diesel;Automatic;First;0;1950;194;5;49,14;35670
68;Maruti Ertiga SHVS VDI;Pune;2016;63000;Diesel;Manual;First;24,52;1248;88,5;7;;8150
69;Hyundai Creta 1.4 E Plus Diesel;Mumbai;2018;13000;Diesel;Manual;First;22,1;1396;88,7;5;11,81;10500
70;Porsche Cayenne 2009-2014 Turbo;Mumbai;2008;73000;Petrol;Automatic;First;8,5;4806;500;5;;14500
71;Mahindra XUV500 W8 4WD;Mumbai;2015;55729;Diesel;Manual;First;15,1;2179;140;7;;9650
72;Hyundai i10 Sportz 1.2 AT;Kochi;2012;45178;Petrol;Automatic;First;16,95;1197;78,9;5;;3480
73;Nissan Terrano XV D Pre;Kochi;2015;56066;Diesel;Manual;First;19,64;1461;108,5;5;16,65;6920
74;Honda Brio VX AT;Coimbatore;2016;37300;Petrol;Automatic;Second;16,5;1198;86,8;5;;6460
75;Audi A6 2.0 TDI Design Edition;Delhi;2014;56000;Diesel;Automatic;Second;18,53;1968;187,74;5;;29500
76;Ford Fiesta 1.4 SXi TDCi;Jaipur;2008;111111;Diesel;Manual;First;17,8;1399;null ;5;;2000
77;Toyota Innova 2.0 G1;Chennai;2006;230000;Petrol;Manual;Third;12,4;1998;132;8;;4500
78;Toyota Innova 2.5 VX 7 STR BSIV;Hyderabad;2012;104000;Diesel;Manual;First;12,8;2494;102;7;;11750
79;Hyundai Santro Xing XL;Hyderabad;2005;87591;Petrol;Manual;First;0;1086;null ;5;;1300
