ID,FECHA,TIENDA,TOTAL,EFECTIVO,TARJETAS
271,2019-09-10,Tienda_01,1204.47,478.5,725.97
272,2019-09-10,Tienda_02,1690.9,260.23,1430.67
273,2019-09-11,Tienda_00,605.87,213.9,391.97
274,2019-09-11,Tienda_01,997.09,307.82,689.27
275,2019-09-11,Tienda_02,1191.43,376.2,815.23
276,2019-09-12,Tienda_00,551.43,49.5,501.93
277,2019-09-12,Tienda_01,1637.22,126.12,1511.1
278,2019-09-12,Tienda_02,1202.12,338.35,863.77
282,2019-09-13,Tienda_00,1307.8,202.0,1105.8
283,2019-09-13,Tienda_01,1974.47,96.0,1878.47
284,2019-09-13,Tienda_02,1399.87,320.0,1079.87
285,2019-09-14,Tienda_00,1400.6,250.0,1150.6
286,2019-09-14,Tienda_01,2574.17,296.0,2278.17
287,2019-09-14,Tienda_02,2329.27,376.0,1953.27
288,2019-09-16,Tienda_00,1027.22,197.95,829.27
289,2019-09-16,Tienda_01,2000.98,251.18,1749.8
290,2019-09-16,Tienda_02,1934.92,498.45,1436.47
291,2019-09-17,Tienda_00,1012.93,249.2,763.73
292,2019-09-17,Tienda_01,1283.44,160.38,1123.07
293,2019-09-17,Tienda_02,1607.47,321.0,1286.47
294,2019-09-18,Tienda_00,794.23,0.0,794.23
295,2019-09-18,Tienda_01,952.43,210.5,741.93
296,2019-09-18,Tienda_02,2031.58,378.48,1653.1
297,2019-09-19,Tienda_00,1697.9,148.5,1549.4
298,2019-09-19,Tienda_01,1769.37,228.98,1540.4
299,2019-09-19,Tienda_02,1530.97,168.4,1362.57
300,2019-09-21,Tienda_00,1335.91,410.68,925.23
301,2019-09-21,Tienda_01,2743.82,427.35,2316.47
302,2019-09-21,Tienda_02,3233.39,580.42,2652.97
303,2019-09-20,Tienda_00,1644.92,86.45,1558.47
304,2019-09-20,Tienda_01,1759.93,308.1,1451.83
305,2019-09-20,Tienda_02,1472.44,249.97,1222.47
306,2019-09-23,Tienda_00,1581.72,157.45,1424.27
307,2019-09-23,Tienda_01,2169.66,407.86,1761.8
308,2019-09-23,Tienda_02,2276.1,223.9,2052.2
309,2019-09-24,Tienda_00,1207.37,49.5,1157.87
310,2019-09-24,Tienda_01,1071.15,283.44,787.71
311,2019-09-24,Tienda_02,1501.96,283.56,1218.4
312,2019-09-25,Tienda_00,1029.06,221.42,807.63
313,2019-09-25,Tienda_01,1698.28,247.98,1450.3
314,2019-09-25,Tienda_02,1257.77,166.0,1091.77
315,2019-09-26,Tienda_00,710.77,203.5,507.27
316,2019-09-26,Tienda_01,1338.33,44.5,1293.83
317,2019-09-26,Tienda_02,1514.38,323.98,1190.4
318,2019-09-28,Tienda_00,1963.93,201.0,1762.93
319,2019-09-28,Tienda_01,3536.99,653.46,2883.53
320,2019-09-28,Tienda_02,3056.28,411.98,2644.3
