TIENDA,TOTAL,AÑO,MES,DIA,DIA_SEMANA,FESTIVO,ESTACION
1,1204.47,2019,09,10,1,0,3
2,1690.9,2019,09,10,1,0,3
0,605.87,2019,09,11,2,0,3
1,997.09,2019,09,11,2,0,3
2,1191.43,2019,09,11,2,0,3
0,551.43,2019,09,12,3,0,3
1,1637.22,2019,09,12,3,0,3
2,1202.12,2019,09,12,3,0,3
0,1307.8,2019,09,13,4,0,3
1,1974.47,2019,09,13,4,0,3
2,1399.87,2019,09,13,4,0,3
0,1400.6,2019,09,14,5,0,3
1,2574.17,2019,09,14,5,0,3
2,2329.27,2019,09,14,5,0,3
0,1027.22,2019,09,16,0,0,3
1,2000.98,2019,09,16,0,0,3
2,1934.92,2019,09,16,0,0,3
0,1012.93,2019,09,17,1,0,3
1,1283.44,2019,09,17,1,0,3
2,1607.47,2019,09,17,1,0,3
0,794.23,2019,09,18,2,0,3
1,952.43,2019,09,18,2,0,3
2,2031.58,2019,09,18,2,0,3
0,1697.9,2019,09,19,3,0,3
1,1769.37,2019,09,19,3,0,3
2,1530.97,2019,09,19,3,0,3
0,1335.91,2019,09,21,5,0,3
1,2743.82,2019,09,21,5,0,3
2,3233.39,2019,09,21,5,0,3
0,1644.92,2019,09,20,4,0,3
1,1759.93,2019,09,20,4,0,3
2,1472.44,2019,09,20,4,0,3
0,1581.72,2019,09,23,0,0,3
1,2169.66,2019,09,23,0,0,3
2,2276.1,2019,09,23,0,0,3
0,1207.37,2019,09,24,1,0,3
1,1071.15,2019,09,24,1,0,3
2,1501.96,2019,09,24,1,0,3
0,1029.06,2019,09,25,2,0,3
1,1698.28,2019,09,25,2,0,3
2,1257.77,2019,09,25,2,0,3
0,710.77,2019,09,26,3,0,3
1,1338.33,2019,09,26,3,0,3
2,1514.38,2019,09,26,3,0,3
0,1963.93,2019,09,28,5,0,3
1,3536.99,2019,09,28,5,0,3
2,3056.28,2019,09,28,5,0,3
0,1658.98,2019,09,27,4,0,3
1,1863.27,2019,09,27,4,0,3
2,2536.0,2019,09,27,4,0,3
0,1262.47,2019,09,30,0,0,3
1,2101.8,2019,09,30,0,0,3
2,1571.27,2019,09,30,0,0,3
0,544.43,2019,10,01,1,0,3
1,2084.98,2019,10,01,1,0,3
2,1597.32,2019,10,01,1,0,3
0,1251.72,2019,10,03,3,0,3
1,1825.0,2019,10,03,3,0,3
2,1150.5,2019,10,03,3,0,3
0,768.12,2019,10,02,2,0,3
1,1739.13,2019,10,02,2,0,3
2,1810.57,2019,10,02,2,0,3
0,2608.5,2019,10,05,5,0,3
1,3543.47,2019,10,05,5,0,3
2,4443.1,2019,10,05,5,0,3
0,1492.33,2019,10,04,4,0,3
1,1896.22,2019,10,04,4,0,3
2,1925.83,2019,10,04,4,0,3
0,1143.84,2019,10,07,0,0,3
1,1677.81,2019,10,07,0,0,3
2,1429.43,2019,10,07,0,0,3
0,883.69,2019,10,08,1,0,3
1,1496.91,2019,10,08,1,0,3
2,2030.56,2019,10,08,1,0,3
0,1154.63,2019,10,09,2,0,3
1,1459.11,2019,10,09,2,0,3
2,1366.98,2019,10,09,2,0,3
0,806.02,2019,10,10,3,0,3
1,2575.34,2019,10,10,3,0,3
2,2017.03,2019,10,10,3,0,3
0,2729.93,2019,10,12,5,1,3
1,2054.47,2019,10,12,5,1,3
2,2895.47,2019,10,12,5,1,3
0,2001.95,2019,10,11,4,0,3
1,1641.91,2019,10,11,4,0,3
2,2848.46,2019,10,11,4,0,3
0,1622.7,2019,10,14,0,0,3
1,2651.84,2019,10,14,0,0,3
2,2357.1,2019,10,14,0,0,3
0,1011.86,2019,10,15,1,0,3
1,1616.57,2019,10,15,1,0,3
2,2702.17,2019,10,15,1,0,3
0,1610.51,2019,10,16,2,0,3
1,2348.94,2019,10,16,2,0,3
2,2725.53,2019,10,16,2,0,3
0,1627.48,2019,10,17,3,0,3
1,2086.22,2019,10,17,3,0,3
2,2133.01,2019,10,17,3,0,3
0,2050.96,2019,10,19,5,0,3
1,4582.53,2019,10,19,5,0,3
2,4687.7,2019,10,19,5,0,3
0,782.6,2019,10,18,4,0,3
1,2053.56,2019,10,18,4,0,3
2,3916.08,2019,10,18,4,0,3
0,1797.32,2019,10,21,0,0,3
1,2639.54,2019,10,21,0,0,3
2,2259.07,2019,10,21,0,0,3
0,1915.83,2019,10,22,1,0,3
1,1736.78,2019,10,22,1,0,3
2,2179.06,2019,10,22,1,0,3
0,1439.86,2019,10,23,2,0,3
1,2233.52,2019,10,23,2,0,3
2,1996.91,2019,10,23,2,0,3
0,1420.9,2019,10,24,3,0,3
1,2371.39,2019,10,24,3,0,3
2,2249.44,2019,10,24,3,0,3
0,1927.12,2019,10,25,4,0,3
1,3064.62,2019,10,25,4,0,3
2,2876.67,2019,10,25,4,0,3
0,1613.21,2019,10,26,5,0,3
1,4449.23,2019,10,26,5,0,3
2,5570.18,2019,10,26,5,0,3
0,1855.95,2019,10,28,0,0,3
1,2204.05,2019,10,28,0,0,3
2,2189.6,2019,10,28,0,0,3
0,1747.97,2019,10,29,1,0,3
1,1982.68,2019,10,29,1,0,3
2,2143.04,2019,10,29,1,0,3
0,1422.24,2019,10,30,2,0,3
1,1823.72,2019,10,30,2,0,3
2,2113.27,2019,10,30,2,0,3
0,3197.37,2019,11,02,5,0,3
1,3775.64,2019,11,02,5,0,3
2,4699.45,2019,11,02,5,0,3
0,1255.3,2019,10,31,3,0,3
1,1787.65,2019,10,31,3,0,3
2,2926.04,2019,10,31,3,0,3
0,1198.68,2019,11,01,4,1,3
1,2104.38,2019,11,01,4,1,3
2,2840.26,2019,11,01,4,1,3
0,1163.31,2019,11,04,0,0,3
1,1374.39,2019,11,04,0,0,3
2,3023.73,2019,11,04,0,0,3
0,1317.21,2019,11,05,1,0,3
1,1971.33,2019,11,05,1,0,3
2,1224.2,2019,11,05,1,0,3
0,1819.52,2019,11,06,2,0,3
1,1626.36,2019,11,06,2,0,3
2,1365.32,2019,11,06,2,0,3
0,683.33,2019,11,07,3,0,3
1,1686.28,2019,11,07,3,0,3
2,1388.65,2019,11,07,3,0,3
0,2265.42,2019,11,08,4,0,3
1,1666.73,2019,11,08,4,0,3
2,1733.82,2019,11,08,4,0,3
0,3586.25,2019,11,09,5,0,3
1,4808.74,2019,11,09,5,0,3
2,4841.31,2019,11,09,5,0,3
0,1174.63,2019,11,11,0,0,3
1,1931.09,2019,11,11,0,0,3
2,1724.61,2019,11,11,0,0,3
0,975.33,2019,11,12,1,0,3
1,941.91,2019,11,12,1,0,3
2,1629.85,2019,11,12,1,0,3
0,1821.81,2019,11,13,2,0,3
1,1591.7,2019,11,13,2,0,3
2,2571.37,2019,11,13,2,0,3
0,1439.22,2019,11,14,3,0,3
1,2073.27,2019,11,14,3,0,3
2,1755.25,2019,11,14,3,0,3
0,3394.17,2019,11,16,5,0,3
1,4160.87,2019,11,16,5,0,3
2,2828.54,2019,11,16,5,0,3
0,1945.38,2019,11,15,4,0,3
1,2632.17,2019,11,15,4,0,3
2,2655.92,2019,11,15,4,0,3
0,733.8,2019,11,18,0,0,3
1,1344.89,2019,11,18,0,0,3
2,2152.38,2019,11,18,0,0,3
0,1148.0,2019,11,19,1,0,3
1,1854.85,2019,11,19,1,0,3
2,851.16,2019,11,19,1,0,3
0,407.24,2019,11,20,2,0,3
1,885.99,2019,11,20,2,0,3
2,1567.56,2019,11,20,2,0,3
0,852.17,2019,11,21,3,0,3
1,1473.84,2019,11,21,3,0,3
2,1612.12,2019,11,21,3,0,3
0,1713.88,2019,11,22,4,0,3
1,2640.3,2019,11,22,4,0,3
2,1745.87,2019,11,22,4,0,3
0,2320.76,2019,11,23,5,0,3
1,3426.96,2019,11,23,5,0,3
2,3786.66,2019,11,23,5,0,3
0,1149.01,2019,11,25,0,0,3
1,1068.86,2019,11,25,0,0,3
2,2125.19,2019,11,25,0,0,3
0,779.87,2019,11,26,1,0,3
1,867.2,2019,11,26,1,0,3
2,1444.47,2019,11,26,1,0,3
0,898.41,2019,11,27,2,0,3
1,1524.32,2019,11,27,2,0,3
2,2441.88,2019,11,27,2,0,3
0,732.02,2019,11,28,3,0,3
1,2131.8,2019,11,28,3,0,3
2,1714.62,2019,11,28,3,0,3
0,3575.63,2019,11,30,5,0,3
1,3700.24,2019,11,30,5,0,3
2,4847.4,2019,11,30,5,0,3
0,3775.76,2019,11,29,4,0,3
1,4479.03,2019,11,29,4,0,3
2,5588.9,2019,11,29,4,0,3
0,1357.72,2019,12,01,6,1,3
1,1232.16,2019,12,01,6,1,3
2,2450.67,2019,12,01,6,1,3
0,848.06,2019,12,02,0,0,3
1,429.48,2019,12,02,0,0,3
2,644.07,2019,12,02,0,0,3
0,407.54,2019,12,03,1,0,3
1,985.93,2019,12,03,1,0,3
2,928.05,2019,12,03,1,0,3
0,962.83,2019,12,04,2,0,3
1,886.79,2019,12,04,2,0,3
2,1046.26,2019,12,04,2,0,3
0,1225.11,2019,12,09,0,0,3
1,1080.03,2019,12,09,0,0,3
2,1824.12,2019,12,09,0,0,3
3,703.1,2019,12,09,0,0,3
0,2333.35,2019,12,07,5,0,3
1,3383.27,2019,12,07,5,0,3
2,3000.91,2019,12,07,5,0,3
3,743.78,2019,12,07,5,0,3
0,1077.62,2019,12,08,6,1,3
1,2472.34,2019,12,08,6,1,3
2,2066.52,2019,12,08,6,1,3
3,911.81,2019,12,08,6,1,3
0,1192.32,2019,12,05,3,0,3
1,988.82,2019,12,05,3,0,3
2,1759.65,2019,12,05,3,0,3
0,575.09,2019,12,10,1,0,3
1,941.62,2019,12,10,1,0,3
2,930.67,2019,12,10,1,0,3
3,531.33,2019,12,10,1,0,3
0,964.13,2019,12,11,2,0,3
1,966.58,2019,12,11,2,0,3
2,1447.92,2019,12,11,2,0,3
3,354.83,2019,12,11,2,0,3
0,1300.8,2019,12,12,3,0,3
1,977.46,2019,12,12,3,0,3
2,1674.3,2019,12,12,3,0,3
3,161.5,2019,12,12,3,0,3
0,1483.57,2019,12,14,5,0,3
1,1697.8,2019,12,14,5,0,3
2,2821.25,2019,12,14,5,0,3
3,842.31,2019,12,14,5,0,3
0,1470.81,2019,12,13,4,0,3
1,1077.13,2019,12,13,4,0,3
2,1316.54,2019,12,13,4,0,3
3,597.2,2019,12,13,4,0,3
0,689.95,2019,12,16,0,0,3
1,1192.13,2019,12,16,0,0,3
2,748.25,2019,12,16,0,0,3
3,256.33,2019,12,16,0,0,3
0,1197.64,2019,12,17,1,0,3
1,1182.31,2019,12,17,1,0,3
2,1329.63,2019,12,17,1,0,3
3,1317.47,2019,12,17,1,0,3
0,752.9,2019,12,18,2,0,3
1,950.62,2019,12,18,2,0,3
2,1279.07,2019,12,18,2,0,3
3,715.4,2019,12,18,2,0,3
0,1176.4,2019,12,19,3,0,3
1,896.27,2019,12,19,3,0,3
2,978.73,2019,12,19,3,0,3
3,462.97,2019,12,19,3,0,3
0,1509.03,2019,12,21,5,0,3
1,2367.07,2019,12,21,5,0,3
2,2148.48,2019,12,21,5,0,3
3,419.43,2019,12,21,5,0,3
0,735.57,2019,12,22,6,1,3
1,1494.9,2019,12,22,6,1,3
2,943.84,2019,12,22,6,1,3
3,493.86,2019,12,22,6,1,3
0,947.13,2019,12,20,4,0,3
1,1681.61,2019,12,20,4,0,3
2,943.42,2019,12,20,4,0,3
3,348.53,2019,12,20,4,0,3
0,1647.06,2019,12,23,0,0,3
1,1955.38,2019,12,23,0,0,3
2,2605.18,2019,12,23,0,0,3
3,875.55,2019,12,23,0,0,3
0,900.01,2019,12,24,1,0,3
1,1560.1,2019,12,24,1,0,3
2,1134.89,2019,12,24,1,0,3
3,523.5,2019,12,24,1,0,3
0,2059.5,2019,12,26,3,0,3
1,2699.25,2019,12,26,3,0,3
2,2050.03,2019,12,26,3,0,3
3,1040.9,2019,12,26,3,0,3
0,1703.25,2019,12,29,6,1,3
1,1450.82,2019,12,29,6,1,3
2,1587.75,2019,12,29,6,1,3
3,933.31,2019,12,29,6,1,3
0,2101.7,2019,12,28,5,0,3
1,2824.38,2019,12,28,5,0,3
2,2632.28,2019,12,28,5,0,3
3,873.05,2019,12,28,5,0,3
0,1611.14,2019,12,27,4,0,3
1,2313.2,2019,12,27,4,0,3
2,3353.69,2019,12,27,4,0,3
3,1351.01,2019,12,27,4,0,3
0,2698.28,2019,12,30,0,0,3
1,2258.33,2019,12,30,0,0,3
2,3273.72,2019,12,30,0,0,3
3,1206.21,2019,12,30,0,0,3
0,1770.58,2019,12,31,1,0,3
1,1643.87,2019,12,31,1,0,3
2,1309.97,2019,12,31,1,0,3
3,241.12,2019,12,31,1,0,3
0,3002.1,2020,01,02,3,0,3
1,2989.41,2020,01,02,3,0,3
2,2657.4,2020,01,02,3,0,3
3,1006.9,2020,01,02,3,0,3
0,736.09,2020,01,05,6,1,3
1,1073.97,2020,01,05,6,1,3
2,642.33,2020,01,05,6,1,3
3,339.57,2020,01,05,6,1,3
0,2389.4,2020,01,03,4,0,3
1,2189.73,2020,01,03,4,0,3
2,2916.56,2020,01,03,4,0,3
3,862.38,2020,01,03,4,0,3
0,2321.32,2020,01,04,5,0,3
1,2115.82,2020,01,04,5,0,3
2,2480.13,2020,01,04,5,0,3
3,986.59,2020,01,04,5,0,3
0,2150.74,2020,01,07,1,0,3
1,2991.88,2020,01,07,1,0,3
2,2913.64,2020,01,07,1,0,3
3,822.0,2020,01,07,1,0,3
0,1420.87,2020,01,08,2,0,3
1,1557.64,2020,01,08,2,0,3
2,949.75,2020,01,08,2,0,3
3,500.33,2020,01,08,2,0,3
0,1805.76,2020,01,09,3,0,3
1,1202.34,2020,01,09,3,0,3
2,2111.14,2020,01,09,3,0,3
3,407.71,2020,01,09,3,0,3
0,1871.01,2020,01,11,5,0,3
1,2682.43,2020,01,11,5,0,3
2,3721.48,2020,01,11,5,0,3
3,810.67,2020,01,11,5,0,3
0,1826.52,2020,01,10,4,0,3
1,1476.3,2020,01,10,4,0,3
2,2015.03,2020,01,10,4,0,3
3,507.67,2020,01,10,4,0,3
0,942.8,2020,01,13,0,0,3
1,893.74,2020,01,13,0,0,3
2,1080.5,2020,01,13,0,0,3
3,239.33,2020,01,13,0,0,3
0,1259.33,2020,01,14,1,0,3
1,594.83,2020,01,14,1,0,3
2,1178.14,2020,01,14,1,0,3
3,315.83,2020,01,14,1,0,3
0,1002.25,2020,01,15,2,0,3
1,1362.71,2020,01,15,2,0,3
2,685.5,2020,01,15,2,0,3
3,374.17,2020,01,15,2,0,3
0,909.5,2020,01,16,3,0,3
1,740.7,2020,01,16,3,0,3
2,1356.33,2020,01,16,3,0,3
3,404.33,2020,01,16,3,0,3
0,860.38,2020,01,17,4,0,3
1,996.21,2020,01,17,4,0,3
2,752.97,2020,01,17,4,0,3
3,1004.5,2020,01,17,4,0,3
0,1680.0,2020,01,18,5,0,3
1,1465.59,2020,01,18,5,0,3
2,2173.0,2020,01,18,5,0,3
3,554.0,2020,01,18,5,0,3
0,997.0,2020,01,20,0,0,3
1,1178.82,2020,01,20,0,0,3
2,1317.01,2020,01,20,0,0,3
3,263.67,2020,01,20,0,0,3
0,1243.97,2020,01,21,1,0,3
1,1069.18,2020,01,21,1,0,3
2,647.38,2020,01,21,1,0,3
3,192.0,2020,01,21,1,0,3
4,187.33,2020,01,14,1,0,3
4,98.67,2020,01,16,3,0,3
0,577.75,2020,01,22,2,0,3
1,910.7,2020,01,22,2,0,3
2,724.67,2020,01,22,2,0,3
3,179.64,2020,01,22,2,0,3
4,0.0,2020,01,22,2,0,3
0,867.05,2020,01,23,3,0,3
1,1034.33,2020,01,23,3,0,3
2,876.33,2020,01,23,3,0,3
3,204.0,2020,01,23,3,0,3
4,0.0,2020,01,23,3,0,3
0,915.11,2020,01,24,4,0,3
1,1209.53,2020,01,24,4,0,3
2,1740.25,2020,01,24,4,0,3
3,418.63,2020,01,24,4,0,3
4,59.33,2020,01,24,4,0,3
